Link;Título;Valor Alquiler;Expensas;Barrio;Dirección;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras;Años de Antigüedad;Coordenadas;Descripción
https://www.remax.com.ar/listings/monoambiente-en-alquiler-uruguay-y-corrientes;monoambiente en alquiler Uruguay y Corrientes;380.000 ARS;100.000 ARS;;;30;1;1;1;0;47;;"alquiler de departamento monoambiente situado en Uruguay esquina Corrientes, excelente ubicacion en pleno centro de la ciudad de Buenos Aires.
Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-departamento-2-ambientes-palermo-7;Alquiler departamento 2 ambientes Palermo;400 USD;123.000 ARS;Palermo;Darregueyra 2200, Palermo, Capital Federal;34;2;1;1;0;47;;"Lindísimo departamento Refaccionado en su totalidad.

Es interno, pero muy luminoso tal cual se puede ver en las fotos.

2 ambientes.

Living comedor con ventana al pulmón del edificio.

Cocina,  refaccionada con calefón NUEVO para agua caliente.

Dormitorio con ventana al pulmón del edificio.

Baño refaccionado en su totalidad, con ducha.

Pisos de parquet, pulidos, en excelente estado.

Expensas Abril 2025: $ 123.000.-

Disponibilidad inmediata.

Múdate a la vida que queres!

Palermo es uno de los 48 barrios oficiales de la Ciudad Autónoma de Buenos Aires, Argentina. Está ubicado en el norte de dicha ciudad y en la Comuna 14, ocupando este barrio la totalidad del territorio de dicha comuna (territorios en los que se divide la capital argentina). Con 15,6 km² de superficie, es el barrio de mayor extensión de esta ciudad
Dado el dinamismo del barrio, existen varios ""sub-barrios"" no oficiales determinados por el tipo de actividad que se realiza en esa zona. Las denominaciones están dadas por el uso cotidiano, e incluyen -a modo de ejemplo- a Palermo Soho (polo gastronómico/cultural) y Palermo Hollywood (polo audiovisual)
Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-3-ambientes;Alquiler 3 ambientes;600.000 ARS;150.000 ARS;Caballito;Avenida Directorio 600, Caballito, Capital Federal;52;3;2;1;0;55;;"Alquiler departamento de 3 ambientes
Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-monoambiente-pb-con-patio-recoleta;ALQUILER MONOAMBIENTE PB CON PATIO  RECOLETA;450.000 ARS;55.000 ARS;Recoleta;Billinghurst 1400, Recoleta, Capital Federal;33.31;1;1;1;0;55;;"DEPARTAMENTO EN PLANTA BAJA SOBRE LA CALLE BILLINGHURST  ENTRE PARAGUAY Y MANSILLA
AMBIENTE CON PISO DE PARQUET CON VENTANA AL FRENTE 
COCINA CON MUEBLES INFERIORES Y SUPERIORES , TERMO ELECTRICO
BAÑO COMPLETO CON BAÑERA Y MAMPARA
PATIO INTERNO CON LAVADERO

EXCELENTE UBICACION:
TRANSPORTE PUBLICO 109 -39 - 92 - 128 - 188
ESTACION DE METRO LINEA  D 
UNIVERSIDAD DE PALERMO
AV.CNEL.DIAZ
AV. SANTA FE
PLAZA GUEMEZ
HOSPITAL GUTIERREZ 

REQUISITOS:
MES DE ADELANTO 
MES DE DEPOSITO
DEMOSTRACION DE INGRESOS
SEGURO DE CAUCION ( GARANTIA)
CONTRATO POR 1 AÑO
AUMENTO TRIMESRAL (IPC)


Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/departamento-en-alquiler-2-ambientes-en-palermo;DEPARTAMENTO EN ALQUILER 2 AMBIENTES EN PALERMO;690.000 ARS;390.000 ARS;Palermo;Jorge Luis Borges 2100, Palermo, Capital Federal;54.35;2;1;1;0;20;;"LEER ATENTAMENTE - REQUISITOS DEL ALQUILER:

- POSIBILIDAD DE COCHERA EN EL EDIFICIO

- ALQUILER POR 2 AÑOS (24 meses)

- VALOR DEL ALQUILER: $ 690.000 pesos mensuales  (Expensas $ 390.000 - Abril 2025)

- INGRESOS DEMOSTRABLES del inquilino (recibos de sueldo) por más de $ 2.500.000 pesos. (Pueden sumarse titulares)

- DEPOSITO DE GARANTIA: de U$S 1.000 dólares (se devuelve el mismo importe al finalizar el contrato)

- SEGURO DE VIVIENDA (con cobertura a terceros y linderos) endosado a favor del propietario.

- AJUSTE TRIMESTRAL por IPC

- GARANTIAS, una de las siguientes: 1) Recibos de sueldo de garantes (que superen los $ 2.500.000. 2) Seguro de caución


-------------------------------------------

Descubra este departamento de 2 ambientes ubicado en Borges 2134, en el corazón de Palermo. Esta propiedad ofrece una excelente distribución y luminosidad, ideal para quienes buscan comodidad y funcionalidad en una de las zonas más vibrantes de la ciudad.

Características principales:
* Departamento de 2 ambientes.
* Ubicación estratégica en Palermo.
* Edificio con amenities.
* Ambientes luminosos y bien distribuidos.

Este departamento se encuentra en un edificio cuya entrada principal, visible en la imagen, presenta una estética cuidada y moderna, con un portal de acceso que integra elementos de herrería y vidrio, lo que sugiere un ingreso seguro y con buena iluminación natural.

Al ingresar a la propiedad, se accede a un espacio que integra el living comedor y la cocina, como se observa en las imágenes. El piso es de madera en tonos oscuros, lo que aporta calidez y una estética elegante al ambiente. El living comedor cuenta con una buena entrada de luz natural, potenciada por una abertura de balcón que conecta con el exterior y permite una adecuada ventilación. La iluminación artificial se complementa con artefactos de techo empotrados, que distribuyen la luz de manera uniforme. Este ambiente amplio ofrece versatilidad para la disposición de mobiliario.

La cocina, integrada al living comedor, presenta un diseño funcional con mesadas y mobiliario bajo mesada y alacenas en tonos oscuros, que contrastan con los revestimientos claros de las paredes. Incluye una barra desayunadora que delimita el espacio y ofrece un área adicional para comer o trabajar. Se observa la presencia de una cocina con horno, una campana extractora y espacio para heladera. La distribución del mobiliario permite un uso eficiente del espacio y ofrece buenas opciones de guardado para utensilios y provisiones.

El dormitorio, con acceso desde el living comedor, cuenta también con pisos de madera oscura, manteniendo la uniformidad estética con el resto de la propiedad. Presenta un placard de grandes dimensiones, con puertas corredizas y espejadas que amplían visualmente el espacio y ofrecen una capacidad de guardado considerable. La habitación cuenta con una ventana que proporciona iluminación natural y ventilación. La disposición permite ubicar una cama de tamaño doble y mesas de luz.

El baño de la propiedad, está equipado con sanitarios completos: inodoro, bidet y una ducha con mampara de vidrio, lo que contribuye a la funcionalidad del espacio y evita salpicaduras. El revestimiento de pisos y paredes es de tonos claros, lo que genera una sensación de amplitud y luminosidad. Cuenta con un espejo amplio sobre la bacha y la iluminación artificial es adecuada para el ambiente.

Adicionalmente, se puede apreciar un espacio que podría destinarse a escritorio o vestidor, como se muestra en la imagen. Este ambiente cuenta con un placard de puertas corredizas en tonos claros, que ofrece capacidad de guardado y contribuye a la organización. La iluminación natural se filtra a través de bloques de vidrio que separan este espacio de otro ambiente adyacente, sumado a iluminación artificial empotrada. Este espacio es ideal para un área de trabajo o un vestidor auxiliar.

El edificio cuenta con un amenity destacado: una piscina al aire libre, rodeada de vegetación, lo que crea un entorno agradable para el relax y el esparcimiento, sumando un valor diferencial a la propiedad.

¡No pierda esta oportunidad de vivir en una ubicación privilegiada con todas las comodidades, contáctenos para coordinar una visita y conocer este departamento!
Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-departamento-3-ambientes-villa-crespo;Alquiler Departamento 3 ambientes Villa Crespo;800.000 ARS;170.000 ARS;Villa Crespo;Lerma 0, Villa Crespo, Capital Federal;61.64;3;2;1;0;45;;"Se alquila hermoso departamento 3 ambientes en el Barrio de Villa Crespo, 2 piso al frente orientacion Este.

El Departamento posee:
*Living comedor con salida al balcon.
*Balcon corrido.
*Cocina con salida al Lavadero 
*Lavadero Independiente.
*Baño recien reciclado.
*Dos Habitaciones con placards incorporados.

Contrato 2 años con ajuste por IPC cada 3 meses

Requisitos:
1 Mes de Adelanto
1 Mes de Deposito.
Seguro de Caucion.


Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-imperdible-2-amb-doble-balcon-belgrano-1;;;;;;0;;;;0;;;
https://www.remax.com.ar/listings/alquiler-monoambiente-a-estrenar-villa-urquiza;ALQUILER MONOAMBIENTE A ESTRENAR VILLA URQUIZA;500.000 ARS;50.000 ARS;Parque Chas;Avenida de los Incas 4500, Parque Chas, Capital Federal;27;1;;1;0;0;;"Alquiler de moderno departamento monoambiente a estrenar sobre Avenida de los Inca a metros del subte B.

Hermoso departamento  semi-amueblado en cuarto piso lateral y muy luminoso , con aire acondicionado Frío-Calor, portero eléctrico con visor con control de  cámara y  entrada al edificio desde la aplicación del celular.

Cocina integrada de moderno diseño con muebles de primera calidad , anafe y horno eléctrico.
Agua caliente central.
Baño completo con bañera.

El edificio cuenta con Laundry y paga muy bajas expensas .
Zona inmejorable en ubicación privilegiada por sus accesos al subte y medios de transporte.

Requisitos:

Contrato de alquiler a 2 años con ajuste trimestral según IPC (INDEC)
Comprobante de Ingresos
Garantía propietaria de CABA o seguro de caución
1 mes de adelanto
1 mes de depósito en garantía



UF 15
Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-imperdible-2-amb-doble-balcon-belgrano;ALQUILER IMPERDIBLE  2 AMB -DOBLE BALCON– BELGRANO;660.000 ARS;200.000 ARS;Belgrano;José Hernández 2500, Belgrano, Capital Federal;47;2;1;1;0;14;;"Alquiler de Semipiso 2 Ambientes con Doble Balcón – Belgrano

Moderno semipiso de 2 ambientes al frente, ubicado en el 6º piso, con excelente luminosidad y ventilación cruzada. Cuenta con dos balcones, uno de ellos aterrado con vista al frente y otro al contrafrente, ideales para disfrutar del aire libre.

Ubicado en el corazón de Belgrano, a solo una cuadra de Av. Cabildo y de la estación José Hernández de la Línea D del subte. Zona inmejorable con múltiples opciones de transporte, comercios y servicios.

Descripción de ambientes

* Living comedor con salida a BALCON ATERRAZADO al Frente

* Cocina integrada, Con anafes y Horno Ariston. Extractor de aire. Todo eléctrico.   
   Conexión para lavarropas

* Dormitorio CON MUY AMPLIO PLACARD, MUCHO ESPACIO DE GUARDADO
   Salida a SEGUNDO BALCON amplio con Tender para la ropa, al Contrafrente

* Baño completo con box de DUCHA ESCOCESA Y TOALLERO ELECTRICO

Agua  caliente central
Climatización por 2 AIRES ACONDICIONADO FRIO/CALOR
 Portero visor y cámara de seguridad


Apto vivienda y Apto profesional
AMOBLAMIENTOS DE CATEGORIA
TODOS LOS VENTANALES SON DVH

Edificio con Doble puerta de entrada
SUM en último Piso


Excelente ubicación, con muy buena conectividad de transporte 
Colectivos: 29, 41, 44, 57, 59, 60, 63, 65, 67, 68, 80, 113, 114, 151, 152, 161, 168, 184, 194
Subte línea D, estación José Hernández 
A 6 cuadras de estación Belgrano R del tren Mitre  Ramales Retiro-Bartolomé Mitre y Retiro-José León Suarez

Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-caballito-departamento-3-dorm-balcon;ALQUILER Caballito Departamento 3 dorm Balcón;1.800.000 ARS;178.000 ARS;Caballito;Viel 300, Caballito, Capital Federal;206;5;4;2;0;39;;"ALQUILER – Departamento en Dúplex con palier privado en Caballito Sur
A solo una cuadra del Parque Rivadavia. Todo luz y sol. Bajas expensas.

Amplio y cómodo departamento dúplex en excelente estado, con distribución funcional, muy luminoso y ubicado en una de las zonas más buscadas de Caballito Sur. Ideal para quienes buscan espacio, comodidad y aire libre sin resignar ubicación.

Primera planta: Piso 5
Ingreso por palier privado. Gran living comedor en L con pisos de parquet y salida a un amplio balcón terraza al frente.
Hall de distribución con espacio de guardado.
Tres dormitorios con placard, con salida a un balcón corrido al contrafrente con vista abierta.
Dormitorio principal en suite.
Baño completo con bañera y toilette de recepción.
Cocina comedor muy espaciosa y luminosa, con lavadero independiente.

Segunda planta: Piso 6
Gran playroom o sala de estar, con salida a un segundo balcón terraza con parrilla, ideal para reuniones o disfrutar al aire libre.
Escritorio o espacio de guardado tipo despensa.
Toilette adicional y baulera.

Ambientes amplios, bien ventilados y con excelente entrada de luz natural durante todo el día.

Ubicación privilegiada, a pasos del Parque Rivadavia, con múltiples líneas de transporte, comercios, colegios y servicios.

Una propiedad que combina comodidad, funcionalidad y calidad de vida.

Condiciones:
Contrato por 1 o 2 años
Actualización trimestral IPC
Comprobante de Ingresos
Garantía propietaria CABA o Seguro de Caución
1 mes de depósito


Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-monoambiente-luminoso-boedo;ALQUILER MONOAMBIENTE LUMINOSO BOEDO;320.000 ARS;60.000 ARS;Boedo;Inclán 4200, Boedo, Capital Federal;17.81;1;;1;0;43;;"ALQUILER MONOAMBIENTE LUMINOSO FLORES!

Lindo monoambiente y acogedor en Boedo, el mismo está al contrafrente, lo que hace que tenga muy buena luz y ventilación. Es un edificio en muy buen estado de mantenimiento. Ubicado en un septimo piso
El departamento cuenta con baño completo refaccionado a nuevo, cocina a gas y ventanal con cortinas.
La ubicación es muy buena, a una cuadras Av. La Plata, cerca del Subte y muchas lineas de colectivos. Listo para mudarse!

Las condiciones para alquilar son :
- El alquiler es por 2 años con la posibilidad de renovar .
- Seguro de caucion WORANZ
- Mes de adelanto (Valor Locativo)
- Depósito en dólares (300 usd)
- ⁠Demostración de ingresos
- Los servicios y expensas ordinarias los paga 100% el inquilino
- NO se aceptan mascotas
- Actualización trimestral por índice de IPC

Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de Remax Argentina S.R.L. no ejerce el corretaje inmobiliario. El presente sitio web es una plataforma en donde cada oficina inmobiliaria independiente que contrata los servicios RE/MAX puede publicar las propiedades a su cargo. Cada oficina es de propiedad y gestión independiente, por lo que Remax Argentina S.R.L no interviene en los datos de la publicación, en la operación inmobiliaria, ni en la confección y/o firma del boleto de compraventa y/o escritura y/o contrato de alquiler. En cumplimiento de las leyes vigentes que regulan el corretaje inmobiliario, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes/gestores NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario colegiado a cargo de la publicación, cuyos datos se exhiben en la presente. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes.


NOS VEMOS EN LA CIMA !!!!


EL MOMENTO DE MUDARTE ES AHORA!!!   



AVISO LEGAL: Corredor responsable María Patricia Sodor CUCICBA 5414 / CSI 6061. En cumplimiento de las normas legales aplicables, todas las operaciones inmobiliarias son concluidas por el corredor inmobiliario matriculado y colegiado de la oficina RE/MAX. Cada oficina es de gestión independiente. En cumplimiento de la ley 2340 CUCICBA, Ley 10973 Pcia Bs As, Ley 22.802 de Lealtad Comercial, Ley 24240 de Defensa del Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los Agentes NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte de los martilleros y corredores colegiados, cuyos datos se exhiben debajo del nombre de la inmobiliaria.
Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-dpto-monoambiente-divisible-caba;ALQUILER DPTO MONOAMBIENTE DIVISIBLE, CABA;550.000 ARS;;Parque Chacabuco;Avenida Directorio 300, Parque Chacabuco, Capital Federal;35;;;1;0;2;;"DEPARTAMENTO MONOAMBIENTE DIVISIBLE EN ALQUILER – 6 D – AVENIDA DIRECTORIO 386 – PARQUE CHACABUCO – CABA

EXCELENTE MONOAMBIENTE DIVISIBLE UBICADO EN EL PISO 6, DEPARTAMENTO D, SOBRE AVENIDA DIRECTORIO 386, EN EL BARRIO DE PARQUE CHACABUCO, COMUNA 7 – CIUDAD AUTÓNOMA DE BUENOS AIRES

ZONA TRANQUILA Y EN PLENO CRECIMIENTO, A POCAS CUADRAS DEL PARQUE CHACABUCO, CON FÁCIL ACCESO A AVENIDAS PRINCIPALES COMO AVENIDA LA PLATA, AVENIDA RIVADAVIA Y AVENIDA CARABOBO. CERCANÍA A ESTACIONES DE SUBTE LÍNEA E Y LÍNEA A, COLEGIOS, SUPERMERCADOS Y CENTROS DE SALUD. MUY BUENA CONECTIVIDAD Y SERVICIOS

CARACTERÍSTICAS DE LA UNIDAD
MONOAMBIENTE DIVISIBLE
AMBIENTE ACTUALMENTE DIVIDIDO
MUY LUMINOSO
COCINA ABIERTA
BAÑO COMPLETO HECHO A NUEVO
DEPARTAMENTO A ESTRENAR
TODO NUEVO
EDIFICIO NUEVO CON ASCENSOR

SUPERFICIE CUBIERTA 35 M2
SUPERFICIE TOTAL 35 M2
PRECIO DE ALQUILER 550000 PESOS MENSUALES
Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-departamento-2-ambientes-san-telmo-1;ALQUILER DEPARTAMENTO 2 AMBIENTES SAN TELMO;520.000 ARS;100.000 ARS;San Telmo;Defensa 1200, San Telmo, Capital Federal;40;2;1;1;0;40;;"ALQUILER DEPARTAMENTO 2 AMBIENTES:

CALLE DEFENSA 1200, SAN TELMO

INGRESO AL EDIFICIO CON LLAVE MAGNÉTICA, CUENTA CON RAMPA PARA DISCAPACITADOS Y ASCENSORES.
EL DEPARTAMENTO SE ENCUENTRA UBICADO EN EL PISO 6, CUENTA AL INGRESAR CON EL COMEDOR CON PISOS DE PARQUET, CON SALIDA AL BALCÓN.

A LA DERECHA TENEMOS LA COCINA COMPLETA Y EL PASILLO DE DISTRIBUCIÓN CON MUEBLE EMPOTRADO QUE CONECTA EL BAÑO Y LA HABITACIÓN, LA MISMA CUENTA CON PISOS DE PARQUET Y MUEBLE EMPOTRADO.

BUENA UBICACIÓN A UNA CUADRA DE LA PLAZA DORREGO, A DOS CUADRAS DE PARQUE LEZAMA Y DOS CUADRAS DE PASEO COLON.

CERCANO A ESTACIONES DE SUBTE, MERCADO DE SAN TELMO, MUSEOS Y MAS ATRACCIONES. 
LA CALLE LOS DÍAS DOMINGOS SE TRANSFORMA EN PEATONAL.
Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-departamento-2-ambientes-en-devoto-1;ALQUILER DEPARTAMENTO 2 AMBIENTES EN DEVOTO;700.000 ARS;220.000 ARS;Villa Devoto;José Cubas 3300, Villa Devoto, Capital Federal;55.32;2;1;1;0;8;;"Alquiler 2 Ambientes – Villa Devoto
José Cubas 3633 4to piso al frente

Luminoso departamento de 2 ambientes con balcón al frente y detalles de calidad.
Se alquila con o sin muebles (muebles hechos a medida).
Cuenta con aire acondicionado.

Edificio moderno con SUM y parrilla en terraza
Expensas $ 220.000

Condiciones:
Contrato por 2 años
Ajuste trimestral por IPC
Garantía de CABA o seguro de caución
Ingresos comprobables

En el caso de alquilar con muebles: NO APTO MASCOTAS.

Cochera opcional – Consultar valor


El departamento se encuentra en una de las zonas más buscadas del barrio, a pocos metros de Av. Francisco Beiró y a 5 cuadras de la estación Devoto del tren San Martín. Excelente conectividad con múltiples líneas de colectivo (incluidas la 25, 80, 85, 107, 114 y 124) y acceso rápido a Gral. Paz.
Rodeado de comercios, cafés, espacios verdes y servicios, ideal para quienes buscan comodidad y vida de barrio con fácil acceso al resto de la ciudad.

¡NO TE LO PIERDAS!

Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
https://www.remax.com.ar/listings/alquiler-depto-3-ambientes-parque-avellaneda;ALQUILER DEPTO 3 AMBIENTES PARQUE AVELLANEDA;550.000 ARS;78.600 ARS;Parque Avellaneda;Avenida Juan Bautista Alberdi 4800, Parque Avellaneda, Capital Federal;51;3;2;1;0;8;;"Departamento de 3 ambientes, sobre Avenida Juan Bautista Alberdi., en el barrio de Parque Avellaneda.


CONTRATO: 24 MESES, AJUSTE TRISMESTRAL POR IPC. 
SEGURO DE CAUCIÓN EXCLUYENTE ( SÍ O SÍ )
PARA INGRESO: 
1 MES DE ADELANTO : $550.000
1 MES DE DEPOSITO: $550.000 
TOTAL: $1.100.000
SE ACEPTAN MASCOTAS PEQUEÑAS. 
 
 - Living comedor
- Cocina independiente con buen lugar de guardado.
-  Lavadero, conexión para lavarropas.
- Baño completo.
- Dormitorio principal con placard , con buenos interiores, puertas espejadas, ventilador de techo y  aire acondicionado.
- Segundo dormitorio con aire acondicionado.
 Todos los ambientes con ventanas al pulmón del edificio, con red de contención. 
 Ubicado sobre Avenida, con variedad de medios de transporte, colegios públicos y privados, tanto nivel primario como secundario, zona comercial. 
Digno de ver en precio y calidad. 
No Accesible para personas con discapacidad física LEY 5115.


/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

3-room apartment on Juan Bautista Alberdi Avenue, in the Parque Avellaneda neighborhood.


CONTRACT: 24 MONTHS, QUARTERLY ADJUSTMENT BY CPI.
SURETY INSURANCE EXCLUSIVE (YES OR YES)
FOR MOVE-INS:
1 MONTH ADVANCE: $550,000
1 MONTH DEPOSIT: $550,000
TOTAL: $1,100,000
SMALL PETS ACCEPTED.

- Living and dining room
- Separate kitchen with plenty of storage space
- Laundry space
- Full bathroom
- Master bedroom with closet and air conditioning
- Second bedroom with air conditioning
- All rooms have windows overlooking the building's natural light.

Located on the avenue, with a variety of transportation options, public and private schools (both primary and secondary), and a shopping area.
Worth seeing for its price and quality.
Not accessible for people with physical disabilities, according to Law 5115.


Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."
