Link;Título;Descripción;Valor Alquiler;Expensas;Barrio;Dirección;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras;Años de Antigüedad;Coordenadas
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-av-del-libertador-y-ruggeri-55143622.html;Av del Libertador y Ruggeri;"Piso en edificio de estilo francés, ubicado en esquina, en excelente zona. Palier privado y gran recepción con living apaisado, family en esquina y escritorio. Comedor amplio. Toilette de recepción. Muy luminoso. Cuenta con cinco dormitorios: la suite principal y una segunda suite con salida a balcón sobre Ruggieri; dos dormitorios que comparten un baño; y un quinto dormitorio con salida a balcón también frente a Ruggieri. Todos los ambientes, incluyendo los baños, tienen ventanales y ventilación natural. Aberturas renovadas. Sistema eléctrico modernizado. Cocina de época con comedor diario, dos dependencias de servicio y amplio espacio para lavadero. El edificio cuenta con seguridad 24 horas, cochera y servicios centrales. ""Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes."" Para más información, llámanos al: + Ver datos . Aviso publicado por Miranda Bosch - Real Estate & Art desde Sumaprop.";alquiler USD 5.000;Expensas $ 1.339.000;Palermo Chico;Av. del Libertador al 2500,  Palermo Chico, Palermo;417;8;5;4;1;55;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-monoambiente-tipo-loft-en-55769463.html;Departamento en Alquiler Monoambiente Tipo Loft en Belgrano;Belgrano                     Gran ubicación, muy residencial, linda y de barrio al límite con el barrio de Núñez, a una cuadra de Av. Congreso, a 3 cuadras de Libertador y a 4 de cabildo conectado con el subte y el metrobus . Edificio de categoría y súper tecnológico con terminaciones excelentes y elegantes Piso entero al frente para exigentes 37 mts cubiertos y 21 metros cuadrados de balcón terraza Es un gran monoambiente, hoy dividido como un 2 ambientes tipo loft. Se alquila amoblado o sin amoblar Ingresamos  a la unidad por hall de entrada que separa bien del resto del ambiente, este cuenta con un gran ventanal de piso a techo haciendo de la unidad hiper luminosa desde su entrada, seguimos al ambiente que es muy cómodo con una cocina incorporada digna de un buen chef con todo lo que tiene que tener y con salida a la terraza, luego el espacio del living es Muy abierto y con salida también al balcón terraza con dos hojas de ventana de piso a techo que le brindan luz sol y amplitud de espacio, después el dormitorio o zona de relax cuenta con gran espacio de guardar y un gran ventanal también de piso a techo terminamos la recorrida con un gran baño completo moderno y luminoso. El balcón terraza merece un un texto aparte son 21 mts, el balcón es ancho y largo con grandes vistas abiertas a la ciudad y al verde de los árboles además cuenta con un duchador para los días estivales y una mesa con 3 sillas para disfrutar del espacio . Toda la unidad está decorada con grandes detalles de terminaciones en sus pisos paredes y espacio en general, guarda elegancia en todos sus detalles El edificio cuenta con cámara de seguridad con toma de fotos de los rostros con pantalla tipo tablet, el ingreso es electrónico y con QR , el ingreso a la unidad es por pin electrónico y traba de seguridad camara tablet en su interior, la provision de agua Caliente es central y la refrigeración y calefacción por aire split. Tasaciones profesionales ( conozca el valor real de su Propiedad ) se deja constancia que las medidas y superficies son aproximados, al igual que las expensas que pueden estar sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso, las fotos son de carácter no contractual. CORREDOR RESPONSABLE : LUCIANO  ZUKER MAT. 4081 – CUCICBA;alquiler $ 695.000 36%;Expensas $ 158.000;Belgrano;Manuel Ugarte al 1800,  Belgrano, Capital Federal;55;1;;1;;2;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-monoambiente-divisible-en-recoleta-al-frente-con-56023001.html;Monoambiente Divisible en Recoleta Al Frente con Balcon;ALQUILER POR 24 MESES Monoambiente divisible en quinto piso al frente Cocina integrada con anafe eléctrico TODO ELECTRICO Balcon Baño completo con ducha Pisos de parque Termotanque eléctrico. Encargado con vivienda. Aire acondicionado. APTO PROFESIONAL Aysa $16.000 ABL a cargo del locador. No cuenta con espacio para lavarropas Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Matriculado CUCICBA N°923;alquiler $ 380.000;Expensas $ 80.000;Barrio Norte;Anchorena al 1700,  Barrio Norte, Capital Federal;32;1;;1;;35;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-4-ambientes-palermo-chico-55186930.html;Departamento en Alquiler 4 Ambientes - Palermo Chico;Piso 21. Torre Clorindo Testa  (Arq. de la Biblioteca Nacional, Centro Cultural Recoleta, Banco de Londres entre otras obras) de excelente categoría de 37 años de antigüedad. La torre posee 26 pisos de altura, una unidad por piso, un ascensor principal y un ascensor de servicio. Vigilancia 24hs. La entrada principal se accede desde un sector especial techado en la vereda para ascenso y descenso de pasajeros. o	Funcionalidad: Palier privado, living y comedor amplio con salida a gran balcón aterrazado, hall íntimo con placards, toilette de recepción, dormitorio principal en suite (baño completo con ventilación y luz natural) con vista al río, segundo y tercer dormitorio ambos con placards y con vista al río, segundo baño completo (con ventilación y luz natural), cocina completa con entrada de servicio, lavadero independiente, habitación de servicio exterior con baño (posee  parquet y excelente vista por lo cual puede ser utilizado como escritorio). Doble circulación. o Cochera para 2 vehículos (Nº 13). Ubica en el primer subsuelo por rampa, de fácil acceso y maniobrabilidad o	Orientación: NO (sol de tarde) en living comedor. NE (sol de mañana) en dormitorios. o	Luminosidad: Excelente en todos los ambientes (todos externos). o	Vista: Impactante vista abierta a bosques de Palermo en living comedor. Excelente vista al río desde dormitorios. o	Estado general: Muy bueno. Pisos tarugados en living comedor, pisos de parquet en área dormitorios. Cerramientos con doble vidriado hermético (DVH). La unidad se entrega recién pintada y con todos los pisos pulidos y plastificados. o	Calefacción por losa radiante central. Agua caliente central. o	Expensas (Diciembre 2024) $826.000. AySA: $77.000. ABL: $180.000. “El edificio cuenta con accesibilidad para personas con movilidad reducida (Ley 5115)” Valeria Soldati -CUCICBA- Mat. Nº 7305 Valeria Soldati  - CMCPSI - Mat. Nº 6818;alquiler USD 2.900;Expensas $ 826.000;Palermo Chico;Castex al 3300,  Palermo Chico, Palermo;159;4;3;3;2;37;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler!-monoambiente-con-patio-en-palermo!-56147927.html;Alquiler! Monoambiente con Patio en Palermo!;Alquiler! Monoambiente con Patio en pleno Palermo!Hecho a nuevo! Amoblado tal como se ve en fotos Cómodo ambiente dividido con salida al patio!Hall de recepción con placard de dos hojas.Cocina integrada con anafe dual eléctrico y espacio para heladera bajo mesadaBaño completoPatio de 14m2 con lavadero incorporado! Edificio de 8 pisos con 4 unidades en cada uno de ellos. Ubicado en pleno barrio de Palermo este monoambiente se encuentra sobre la calle Paraguay entre Vidt y Bulnes.A dos cuadras del Boulevard CharcasA cuatro cuadras de Av. Santa Fe donde se encuentran tanto el subte Linea D y multiples lineas de colectivo. Zona residencial y comercial, de transito constante y muy buscada por turistas. Destacada por su seguridad y su diversidad en cuanto a restaurantes, bares y cafes. REQUISITOS:- 1 Mes de adelanto.- 1 Mes de depósito.- Contrato de 6 meses. - No se aceptan mascotas.- Honorarios inmobiliarios correspondientes a 1 mes de alquiler, a cargo del inquilino. Matias Psevoznik MATRÍCULA CUCICBA N° 7733 Aviso legal: Las medidas, superficies y proporciones consignadas son aproximadas y al sólo efecto orientativo y pueden variar respecto del plano y titulo de propiedad respectivos, al igual que las medidas parciales y/o de los ambientes que están sujetas a verificación y/o ajuste.- El valor indicado de expensas, si las hubiere, está sujeto a variación.- Los valores pueden ser modificados sin previo aviso.- Las fotos publicadas son ilustrativas, no contractuales y propiedad de Tovado Propiedades.- .;alquiler USD 600;Expensas $ 95.000;Palermo;Paraguay al 3600,  Palermo, Capital Federal;39;1;;1;;60;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-1-ambiente-dividido-balcon-cocina-separada.-55745906.html;1 Ambiente Dividido - Balcon - Cocina Separada.;Alquiler de Departamento MONOAMBIENTE en Palermo Hollywood, Capital Federal 1 AMBIENTE DIVIDIDO - A LA CALLE - MUY LUMINOSO - BAJAS EXPENSAS - BALCÓN FRANCÉS - COCINA SEPARADA COMPLETA - BAÑO COMPLETO - PISOS DE CERÁMICOS - EXCELENTE UBICACIÓN. Nota: debido al proceso inflacionario, se recomienda consultar últimos valores de expensas actualizados.- Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes- LORIA Inmobiliaria: MATRICULAS CPI 1300/8528. CABA.- XINTEL(LOR-LOR-1897);alquiler $ 370.000;Expensas $ 72.000;Palermo Hollywood;RAVIGNANI, EMILIO 1392. Entre Vega, niceto, cnel. y Cordoba, avda.,  Palermo Hollywood, Palermo;25;1;;1;;45;
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-impecable-departamento-en-el-faro-puerto-madero-50198901.html;Impecable Departamento en El Faro Puerto Madero, Capital Federal;"Superficie: 233 m2 Palier privado con dos ascensores principales. Hall de distribución, a espectacular living comedor y balcón cerrado. Pisos de roble americano. Toilette de visitas. Placard de recepción. 4 dormitorios en suite, (principal con gran vestidor y en el baño: bacha doble, jacuzzi y tanto sanitarios como el box de ducha; están compartimentados). Los otros 3 dormitorios son en suite con placares. Cocina amplia, con antecocina, horno eléctrico y anafe a gas. Comedor diario súper luminoso con vistas a la ciudad. La dependencia de servicio fue modificada como 4º dormitorio en suite. Entrada de servicio con acceso a escalera y dos ascensores Calefacción por losa radiante, con caldera, individual regulable. Aire acondicionado frío/calor por ductos, individual en cada ambiente del departamento. 3 cocheras y 1 baulera. 3º cochera opcional. PRECIO VENTA: U$S 1.500.000 PRECIO ALQUILER AMOBLADO: U$S5.000 más gastos La venta de esta propiedad se encuentra supeditada a la tramitación del COTI Amenities: Piscina cubierta climatizada con reposeras y descubierta climatizada. Área de spa. Salón para 200 personas con entrada independiente con cocina, mesas y sillas, guarda ropa, bar. Sala de juego de chicos. Cancha de tenis. Parrilla. GYM. Cocheras de cortesía. Kinach, Gustavo Luis Corredor Inmobiliario CUCICBA Matricula 1516 Las superficies, medidas y expensas son aproximadas y no resultan vinculantes. Las reales y actualizadas son las que surgen del título de propiedad y recibo de expensas que serán suministrados por el propietario.";venta USD 1.500.000;Expensas $ 1.900.000;Puerto Madero;Azucena Villaflor 600,  Puerto Madero, Capital Federal;233;5;4;4;3;16;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-palermo-fitz-roy-al-1900-monoamb-apto-prof.-56339936.html;Alquiler Palermo Fitz Roy Al 1900 Monoamb Apto Prof.;Alquiler, contrato de dos años ajuste trimestral por IPC.Mes de deposito ,mes de alquiler. Informes de dominio e inhibicion a cargo del inquilino y certificacion de firmas. Garantia propietaria de CABA o,seguro de caucion Finaer.Ingresos comprobables. Monoambiente en alquiler en Palermo CABA, calle Fitz Roy al 1900 ( Palermo Hollywood). 4 to piso con cocina integrada, superficie total 31,42 mts 2. Baño completo con bañadera, balcón a pulmón de manzana muy tranquilo. Recién pintado pisos nuevos. Cuenta con AA y estufa. Apto vivienda y profesional. * La información de la unidad así como las  medidas son aproximadas y orientativas. Las medidas exactas deberán ratificarse con la      documentación pertinente y no comprometen a la empresa.  las mismas surgirán del título de propiedad. En el caso de venta, la misma esta supeditada al cumplimiento por parte del propietario de los requisitos de la Resolución General 2371 de la AFIP. ** Nota importante:  los gastos (expensas, ABL) expresados refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.;alquiler $ 500.000;Expensas $ 135.000;Palermo Hollywood;Fitz Roy al 1900,  Palermo Hollywood, Palermo;31;1;;1;;20;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-almagro-2-ambientes-amplios-55402147.html;Alquiler Almagro 2 Ambientes Amplios;Hermoso departamento 2 ambientes en alquiler en Almagro Ubicado en Sarmiento y Medrano a metros de Subte Línea B Estación Medrano .Cuenta con amplio Living Comedor , pisos plastificado, con salida a balcón contrafrente con vista abierta con Orientación Norte, 1 dormitorio con amplio placard, Baño completo con ventana. Cocina amplia con lavadero incorporado. POR CONSULTAS Y VISITAS LIDER PROPIEDADES . TEL Ver datos / Ver datos / Ver datos .-;alquiler $ 420.000;Expensas $ 80.000;Almagro Norte;Sarmiento 4075,  Almagro Norte, Almagro;40;1;;;;45;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-3-ambientes-con-balcon-al-frente.-muy-luminoso!-56278044.html;3 Ambientes con Balcon Al Frente. Muy Luminoso!;"FRATELLI GRUPO INMOBILIARIO  11 Ver datos ALQUILA MUY LUMINOSO 3 AMBIENTES!!! Amplio balcón corrido y cerrado. Piso Alto con VISTA ABIERTA. La unidad consta de: Living- comedor (3.20x5 aprox ) con salida a balcón cerrado de 9 mts aprox . Cocina separada con mueble completos y lavadero incorporado. Dormitorio principal de 3.20 x 3.20 más placard.  2do Dormitorio con placard con vista al frente. 1 baño completo. Servicios: Agua caliente central. Losa radiante. A/A en el living. Muy buena Ubicación a media cuadra de Av. Cabildo. A metros del subte D. Estación Ministro Carranza (FGBM). Metrobús. Condiciones alquiler: Plazo a convenir/Actualización trimestral por IPC/1 mes adelantado/1 mes de Deposito en Pesos/SOLO GARANTIA FINAER/ Ingresos comprobables. _______ ""Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes"".-";alquiler $ 700.000;Expensas $ 200.000;Belgrano;Santos Dumont al 2400,  Belgrano, Capital Federal;63;3;2;1;;30;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-departamento-monoambiente-belgrano-56237192.html;Alquiler - Departamento - Monoambiente - Belgrano - C/amenities.;***KARAS PROPIEDADES*** ESPECTACULAR MONOAMBIENTE EN ALQUILER IDEAL PARA VIVIR O TRABAJAR EN EL BARRIO DE BELGRANO. LA UNIDAD CUENTA CON AMPLIO ESTAS SUPER LUMINOSO CON SALIDA A BALCON CON VISTA ABIERTA A LA CIUDAD, COCINA AMERICANA CON ANAFES Y HORNO ELECTRICO, MUEBLES BAJO Y ALTO MESADA. PLACARD DE GUARDADO Y BAÑO COMPLETO. SE ENTREGA RECIEN PINTADO Y CON AIRE FRIO CALOR. APTO PROFESIONAL Y ACEPTA MASCOTAS. AMENITIES: TERRAZA CON PILETA Y LAUNDRY. DISPONIBLE YA. NO DEJES DE VISITARLO. VISITAS Y CONSULTAS: Ver datos - 4787.3489 *Los valores de expensas y ABL son a modo informativos y los mismos pueden no estar actualizados y variar sin previo aviso*;alquiler $ 550.000;;Belgrano;Montañeses 2200,  Belgrano, Capital Federal;29;1;;1;;;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-2-ambientes-en-puerto-madero-torre-la-prensa-55996553.html;Alquiler 2 Ambientes en Puerto Madero Torre La Prensa;ALQUILER 2 AMBIENTES EN PUERTO MADERO EN EDIFICIO LA PRENSA Moderno departamento con magníficas vistas a la Ciudad de Buenos Aires Excelente estado , con pisos de primera calidad, trabajo de pintura e iluminación. Este luminoso departamento cuenta con amplios ambientes. Living con grandes ventanales y balcón con deck desde donde se puede disfrutar de vistas abiertas y excelente circulación de aire , vidrios DVH Dormitorio con  placard empotrado de generosa dimensión con  hall intimo que da al  baño completo y al  toilette de recepción con excelentes detalles de terminación y grifería de primer nivel La cocina es espaciosa, contando con conexión para lavarropas  y una funcional barra desayunadora, lo que le otorga un ambiente cálido y acogedor y excelente lugar de guardado tanto en alacena como baja mesada Tanto el living como la habitación principal cuentan con Aire acondicionado frio / calor El complejo ofrece un entorno único, con una ubicación privilegiada, a tan solo minutos del centro y a pasos de los restaurantes, centros de entretenimiento y recreación. Además, el mismo  cuenta con una amplia gama de comodidades y servicios como :  Seguridad  con control de accesos las 24 hrs ,  piscina (para adultos y niños), un gimnasio totalmente equipado, sauna, un salón de usos múltiples con capacidad de 80 personas y micro cine ubicado  en el tercer piso APTO PROFESIONAL ACEPTA MASCOTA PEQUEÑA Esta propiedad cuenta con acceso para personas con movilidad reducida. Contrato por 24 meses Requisitos , mes de adelanto , deposito del mismo valor del alquiler mensual  , demostración de ingresos , garantía de CABA familiar directo o seguro de  Caución Finaer Expensas incluyen Aysa Florencio González Inmuebles PROFESIONAL MATRICULADO: Florencio Miguel González C.U.C.I.C.B.A mat Nº 4718 / Col. Lm. 988 Todas las propiedades publicadas en este perfil se encuentran a cargo del Martillero y Corredor Florencio Miguel González (C.U.C.I.C.B.A mat Nº 4718 / Col. Lm. 988). En cumplimiento de la Ley 10.973 de la Provincia de Buenos Aires, Ley Nacional 25.028, Ley Nacional 20.266, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores y/o gestores NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria. Nota importante/relevante: Toda la información y las medidas proveídas son sólo estimativas y deberán corroborarse con la documentación oportuna y no compromete contractualmente a nuestra compañía. Los gastos indicados (expensas, ABL) se refieren a la última información obtenida y deberán ratificarse. Las imágenes publicadas son meramente ilustrativas, no vinculantes y no contractuales. XINTEL(MPI-MPI-5054);alquiler USD 990;Expensas $ 240.000;Puerto Madero;AZOPARDO 755. Entre Chile y Independencia,  Puerto Madero, Capital Federal;52;2;1;2;;10;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-duplex-de-estilo-antiguo-totalmente-55613473.html;Departamento Duplex de Estilo Antiguo Totalmente Reciclado a Nuevo 2 Dorm.;Tucumán entre Paraná y Montevideo (Barrio Norte. ) Piso 5to. Dúplex antiguo remodelado y reciclado. Super luminoso, amplio y espacioso a metros del teatro Colón, Palacio de Justicia y Av. 9 de Julio.  Super silencioso. Vista abierta muy linda. Ver video del Duplex en el siguiente Link: CI_5jA REQUISITOS DE INGRESO SUPER FLEXIBLES: Solo presentar DNI o pasaporte y constancias de estudios o de trabajo. En la planta alta hay 2 habitaciones, cada una de ellas con ventilador de techo y aire acondicionado frío/ calor y calefacción por piso radiante individual. Cuarto principal con cama matrimonial, segundo cuanto con 2 camas individuales. Esta planta también cuanta con baño completo y lavadero con tender, lavadoras, plancha y tabla para planchar. La planta baja es completamente abierta y cuenta con toilette para visitas, living con sofá y TV conectado a cromecast (también cable HDMI), comedor para 4 personas y cocina. La cocina tiene horno y anafe eléctricos, heladera, microondas, cafetera, tostadora, pava eléctrica y todo lo necesario para cocinar (ollas, sartenes, fuentes de horno, utensilios de cocina, platos, vasos, cubiertos, etc). Además cuenta con un espacio de trabajo con escritorio, silla y wi-fi de alta velocidad. La planta baja cuenta con aire acondicionado grande frío/calor **Todos los ambientes de la casa tienen calefacción radiante individual con termostato para regularla. Precio: u$s1200 que incluye ABL, Aysa y wifi. El inquilino abona expensas ($250.000 últimas de febrero) y la luz. Condiciones: al ingresar se abona mes de alquiler, depósito en garantía reembolsable y honorarios;alquiler USD 1.200;Expensas $ 230.000;Barrio Norte;Tucuman  al 1500,  Barrio Norte, Capital Federal;90;3;;1;;100;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-de-2amb-amoblado-en-alquiler-en-palermo-56159949.html;Departamento de 2amb Amoblado en Alquiler en Palermo;Departamento de 2amb en alquiler con muebles con zona de palermo. Hermoso comedor con Cocina integrada, balcon, dormitorio con placard y baño completo. El edificio cuenta con parrilla y laundry. Alquiler amoblado a 2 años. Requisitos para alquilar la propiedad: - Un mes de alquiler como depósito en garantía, el cual queda en poder del propietario (y no de la inmobiliaria). - Un mes del valor de alquiler adelantado a la firma del contrato para el propietario. - Garantía propietaria de familiar, de Capital Federal o seguro de caucion. En caso de presentar una garantia, el garante debe presentar una propiedad bajo su nombre y demostrar solvencia económica. Dicho inmueble no puede estar hipotecado, ni ser bien de familia, ni con usufructo.- Gastos: los correspondientes  de la certificación de firmas - Período del contrato: 2 años. - Documentación adicional: recibo de sueldo en el caso de ser empleado, certificación de ingresos. Es importante poder demostrar la capacidad de pago del alquiler En caso de cumplir con estos requisitos comunicarse directamente al 11 Ver datos Yankel Group SAS - Jonathan Saposnik Mat. Nº 6410 (CUCICBA) Matricula de Provincia, a cargo de Laura María Genzano, matrícula N° 657 del Colegio de Martilleros de la Matanza Se deja expresa constancia que las medidas, superficies, m2 y proporciones consignadas son aproximados, al igual que las medidas parciales y/o de los ambientes esta sujeto a verificación y/o ajuste. El valor indicado de expensas esta sujeto a variación. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual Yankel Group SAS - Jonathan Saposnik Mat. Nº 6410 (CUCICBA) Matricula de Provincia, a cargo de Laura María Genzano, matrícula N° 657 del Colegio de Martilleros de la Matanza. Se deja expresa constancia que las medidas, superficies, m2 y proporciones consignadas son aproximados, al igual que las medidas parciales y/o de los ambientes esta sujeto a verificación y/o ajuste. El valor indicado de expensas esta sujeto a variación. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual.;alquiler USD 800;Expensas $ 172.000;Palermo;Jose A Cabrera al 3700,  Palermo, Capital Federal;40;2;1;1;;10;
https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-departamento-2-ambientes-en-villa-crespo-56158724.html;Alquiler Departamento 2 Ambientes en Villa Crespo – con Cochera y Full Amenities;ALQUILER DEPARTAMENTO 2 AMBIENTES CON COCHERA EN EDIFICIO DE CATEGORIA INGRESO INMEDIATO! METRAJE: -Superficie total: 55 m2 -Superficie cubierta: 49 m2. DEPARTAMENTO: -Cocina integrada, todo eléctrico. -Balcón aterrazado al contrafrente, vista al pulmón -Dormitorio con vestidor -El espacio del dormitorio está separado por pasillo con otra puerta -Baño completo -Placard en recepción y en el pasillo distribuidor -Interiores de placard realizados. -Ventanas con doble vidrio -Split aire frio-calor en cada ambiente -Agua centralizada por termotanque -COCHERA, INCLUIDA EN EL VALOR REFERIDO. EDIFICIO: -9 pisos, con 13 unidades por piso hasta el 7mo. -3 ascensores -Gimnasio -SUM -Parrillas -Pileta con solárium -Laundry -Encargado UBICACIÓN -A 450 m2 de Av. Corrientes -A 100 m2 de Av. Juan B. Justo -A 800 m2 de la estación de Subte B (Malabia) -A 300 m2 de la Av. Honorio Pueyrredón VALOR DEL ALQUILER: $850.000 - INCLUYE COCHERA! EXPENSAS: Aún no determinadas, edificio a estrenar. Todas las propiedades que figuran en esta publicación se encuentran a cargo del profesional matriculado Brian David Levi, matrícula CUCICBA 7924, por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. En cumplimiento de la Ley 10.973 de la Provincia de Buenos Aires, Ley Nacional 25.028, Ley Nacional 20.266, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores o agentes NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria. Ley 5115: EXCEPTO que en la descripción de la propiedad se indique lo contrario, el edificio puede no contar con rampa para personas con movilidad reducida, y no ser Accesible para personas con discapacidades físicas.- Todas las medidas son aproximadas al solo efecto orientativo. Las medidas exactas serán las que surjan del título de propiedad. Las fotografías y videos no son contractuales. No se encuentran incluidos en el precio publicado los equipos de aire acondicionado, electrodomésticos ni artefactos de iluminación Y/O NINGÚN OTRO ACCESORIO que pudieran estar mencionados en la descripción o ilustrados en fotografías con excepción de los que queden expresamente identificados en la reserva a conformar entre las partes. Si hubiera valores de expensas y/o impuestos detallados, los mismos son aproximados y sujetos a modificación. NK;alquiler $ 850.000;;Villa Crespo;Thames 56,  Villa Crespo, Capital Federal;55;2;1;1;;;
